gene_name,gene_id,Chow,HFD,FC,P
A930015D03Rik,ENSMUSG00000092368,1.92,1.18,-0.7,9.90E-01
Pxmp4,ENSMUSG00000000876,9.18,5.63,-0.7,9.80E-01
Ceacam1,ENSMUSG00000074272,786.89,483.28,-0.7,1.90E-01
Stxbp3,ENSMUSG00000027882,40.17,24.69,-0.7,6.00E-01
Rin3,ENSMUSG00000044456,7.04,11.46,0.7,9.50E-01
Txndc15,ENSMUSG00000021497,15.34,25.01,0.7,8.40E-01
Epb41l2,ENSMUSG00000019978,20.52,12.61,-0.7,8.40E-01
Dap,ENSMUSG00000039168,45.34,73.85,0.7,6.00E-01
Egr1,ENSMUSG00000038418,99.78,162.41,0.7,6.60E-01
Prdx5,ENSMUSG00000024953,116.88,190.2,0.7,3.60E-01
Uggt1,ENSMUSG00000037470,36.42,59.3,0.7,7.90E-01
Ppp1r12b,ENSMUSG00000073557,6.82,11.1,0.7,8.70E-01
Trove2,ENSMUSG00000018199,6.51,4,-0.7,9.40E-01
Plcg1,ENSMUSG00000016933,4.1,6.65,0.7,9.60E-01
Osbpl3,ENSMUSG00000029822,64.2,39.48,-0.7,7.90E-01
Gm18830,ENSMUSG00000106116,2.94,1.82,-0.7,9.60E-01
Crkl,ENSMUSG00000006134,17.86,29.05,0.7,7.00E-01
Ubl5,ENSMUSG00000084786,14.25,23.2,0.7,8.80E-01
Plekhm1,ENSMUSG00000034247,78.33,48.18,-0.7,6.30E-01
Eps8,ENSMUSG00000015766,648.11,398.76,-0.7,2.60E-01
Armc5,ENSMUSG00000042178,17.23,28.03,0.7,8.40E-01
Krt12,ENSMUSG00000020912,11.19,6.88,-0.7,9.60E-01
Ufm1,ENSMUSG00000027746,11.34,18.42,0.7,9.30E-01
Entpd2,ENSMUSG00000015085,6.04,9.83,0.7,8.80E-01
Hnrnpa2b1,ENSMUSG00000004980,133.41,82.14,-0.7,5.90E-01
Slain2,ENSMUSG00000036087,63.03,102.38,0.7,4.00E-01
Eif3l,ENSMUSG00000033047,10.01,16.23,0.7,8.80E-01
Smim6,ENSMUSG00000075420,2.66,4.33,0.7,9.90E-01
Ldlrap1,ENSMUSG00000037295,5.33,8.63,0.7,9.30E-01
Nap1l4,ENSMUSG00000059119,15.35,24.91,0.7,7.20E-01
C730034F03Rik,ENSMUSG00000079242,4.61,2.84,-0.7,9.20E-01
Tmf1,ENSMUSG00000030059,98.96,61,-0.7,4.20E-01
Nsrp1,ENSMUSG00000037958,48.36,29.78,-0.7,6.50E-01
Fzd8,ENSMUSG00000036904,1.61,2.61,0.7,9.90E-01
Cmpk2,ENSMUSG00000020638,29.59,48.03,0.7,5.80E-01
Tpm3-rs7,ENSMUSG00000058126,1,1.63,0.7,9.50E-01
Epb41l1,ENSMUSG00000027624,116.43,71.81,-0.7,6.50E-01
Cdk16,ENSMUSG00000031065,38.88,63,0.7,4.00E-01
Uba7,ENSMUSG00000032596,85.41,52.68,-0.7,7.80E-01
Rgp1,ENSMUSG00000028468,42.41,26.14,-0.7,6.30E-01
Acaa2,ENSMUSG00000036880,31.24,50.66,0.7,7.80E-01
Sephs2,ENSMUSG00000049091,32.72,53.01,0.7,8.00E-01
Metap1,ENSMUSG00000005813,15.52,25.2,0.7,8.70E-01
Prcp,ENSMUSG00000061119,0.99,1.61,0.7,9.90E-01
Tab1,ENSMUSG00000022414,4.26,6.92,0.7,8.90E-01
Nsd1,ENSMUSG00000021488,202.16,124.76,-0.7,5.50E-01
Rrn3,ENSMUSG00000022682,3.88,6.28,0.7,9.60E-01
Gm26225,ENSMUSG00000064442,1.1,0.68,-0.7,9.90E-01
Plgrkt,ENSMUSG00000016495,8.19,13.27,0.7,8.60E-01
Snrpn,ENSMUSG00000102252,4.39,7.09,0.7,9.60E-01
Zfhx2,ENSMUSG00000040721,7.55,12.23,0.7,8.80E-01
Cdc42,ENSMUSG00000006699,60,97.12,0.7,5.60E-01
Rbm6,ENSMUSG00000032582,53.23,32.86,-0.7,5.60E-01
Tcim,ENSMUSG00000056313,168.37,104,-0.7,4.70E-01
Ptdss2,ENSMUSG00000025495,8.18,13.23,0.7,8.40E-01
Ptpn21,ENSMUSG00000021009,62.99,38.91,-0.7,7.70E-01
Arrdc1,ENSMUSG00000026972,18.16,11.21,-0.69,8.30E-01
Clta,ENSMUSG00000028478,133.29,215.69,0.69,5.10E-01
Rex1bd,ENSMUSG00000058833,6.39,3.93,-0.69,9.20E-01
Mroh3,ENSMUSG00000087230,2.7,1.67,-0.69,9.90E-01
Thap6,ENSMUSG00000102644,0.88,1.43,0.69,9.90E-01
Nf2,ENSMUSG00000009073,16.59,26.78,0.69,7.80E-01
Rhot1,ENSMUSG00000017686,5.55,3.44,-0.69,9.50E-01
5430416N02Rik,ENSMUSG00000097772,2.63,1.63,-0.69,9.90E-01
Tmem167,ENSMUSG00000012422,17.83,11.01,-0.69,8.60E-01
Mep1b,ENSMUSG00000024313,556.42,898.94,0.69,2.90E-01
Pura,ENSMUSG00000043991,54.17,33.55,-0.69,5.90E-01
Pag1,ENSMUSG00000027508,13.18,21.25,0.69,6.80E-01
Ilvbl,ENSMUSG00000032763,46.48,75.06,0.69,4.20E-01
Txlna,ENSMUSG00000053841,5.87,9.49,0.69,9.40E-01
Naif1,ENSMUSG00000039164,7.89,4.89,-0.69,8.90E-01
Gm15666,ENSMUSG00000084399,1.05,1.7,0.69,9.90E-01
Dctn6,ENSMUSG00000031516,18.16,11.26,-0.69,8.50E-01
Zfp839,ENSMUSG00000021271,2.64,4.26,0.69,9.80E-01
Ftsj3,ENSMUSG00000020706,1.37,2.2,0.69,9.60E-01
Tmem150b,ENSMUSG00000046456,55.37,34.32,-0.69,6.00E-01
Dmxl2,ENSMUSG00000041268,3.05,1.89,-0.69,9.80E-01
Fam13b,ENSMUSG00000036501,124.3,77.05,-0.69,3.30E-01
Inafm2,ENSMUSG00000074918,6.16,9.93,0.69,9.30E-01
Alg2,ENSMUSG00000039740,5.95,9.61,0.69,9.70E-01
Bap1,ENSMUSG00000021901,19.2,11.87,-0.69,7.80E-01
Eif5b,ENSMUSG00000026083,56.58,35.04,-0.69,4.00E-01
Cyc1,ENSMUSG00000022551,36.25,58.49,0.69,7.90E-01
Acadvl,ENSMUSG00000018574,56.08,90.45,0.69,4.20E-01
Plbd1,ENSMUSG00000030214,50.37,81.23,0.69,6.50E-01
Tbrg1,ENSMUSG00000011114,46.71,75.31,0.69,3.60E-01
Dennd2d,ENSMUSG00000027901,18.14,11.24,-0.69,8.00E-01
Galnt4,ENSMUSG00000090035,8.7,14,0.69,9.40E-01
Hspa8,ENSMUSG00000015656,32.09,51.77,0.69,7.20E-01
Arhgap17,ENSMUSG00000030766,145.54,90.33,-0.69,6.30E-01
Eif1,ENSMUSG00000035530,81.04,50.27,-0.69,2.70E-01
Nr3c2,ENSMUSG00000031618,61.39,38.07,-0.69,4.90E-01
Cxcl11,ENSMUSG00000060183,4.76,2.96,-0.69,9.80E-01
Sema7a,ENSMUSG00000038264,70.18,43.59,-0.69,8.60E-01
Hspa14,ENSMUSG00000109865,7.37,4.57,-0.69,9.50E-01
Ercc6,ENSMUSG00000054051,20.59,12.77,-0.69,9.10E-01
Aco1,ENSMUSG00000028405,76.23,122.73,0.69,5.00E-01
Tmub1,ENSMUSG00000028958,13.44,21.63,0.69,9.00E-01
Slc35a2,ENSMUSG00000031156,6.54,10.51,0.69,8.80E-01
Sae1,ENSMUSG00000052833,8.19,13.17,0.69,9.10E-01
Hnrnpu,ENSMUSG00000039630,141.43,87.87,-0.69,5.90E-01
Smarce1,ENSMUSG00000037935,10.23,6.34,-0.69,8.60E-01
Acvr2b,ENSMUSG00000061393,2.16,3.47,0.69,9.90E-01
Tcea3,ENSMUSG00000001604,27.44,17.05,-0.69,7.60E-01
Mtch1,ENSMUSG00000024012,32.88,52.98,0.69,6.30E-01
Usp21,ENSMUSG00000053483,5.2,8.37,0.69,9.10E-01
Nfatc1,ENSMUSG00000033016,5.74,3.56,-0.69,9.30E-01
Lars,ENSMUSG00000024493,7.02,11.3,0.69,9.30E-01
Lamc2,ENSMUSG00000026479,85.47,53.18,-0.69,8.80E-01
Snord34,ENSMUSG00000065878,6.32,3.93,-0.68,9.10E-01
Samd4b,ENSMUSG00000109336,89.89,55.89,-0.68,3.70E-01
Spsb1,ENSMUSG00000039911,35.54,22.12,-0.68,8.00E-01
Pde6a,ENSMUSG00000024575,1.4,0.87,-0.68,9.90E-01
Prpf4,ENSMUSG00000066148,2.09,1.3,-0.68,9.80E-01
Tcf20,ENSMUSG00000041852,98.47,61.26,-0.68,3.60E-01
Fem1b,ENSMUSG00000032244,21.88,13.6,-0.68,7.30E-01
Oas2,ENSMUSG00000032690,5.77,3.59,-0.68,9.80E-01
Snora78,ENSMUSG00000089255,4.2,2.61,-0.68,9.50E-01
Aco2,ENSMUSG00000022477,189.97,305.21,0.68,4.30E-01
Cic,ENSMUSG00000005442,82.48,51.3,-0.68,4.40E-01
Spata13,ENSMUSG00000021990,20.06,12.49,-0.68,9.10E-01
Zbtb6,ENSMUSG00000066798,8.97,5.58,-0.68,9.40E-01
Mis12,ENSMUSG00000040599,3.93,2.44,-0.68,9.80E-01
Mettl7a1,ENSMUSG00000054619,5.63,3.49,-0.68,9.40E-01
Irgm1,ENSMUSG00000046879,13.45,21.61,0.68,8.70E-01
Gm43912,ENSMUSG00000108024,0.58,0.93,0.68,9.90E-01
Haus7,ENSMUSG00000031371,2.23,1.39,-0.68,9.90E-01
Pcyt2,ENSMUSG00000025137,246.42,153.5,-0.68,4.30E-01
Card6,ENSMUSG00000041849,7.97,12.79,0.68,9.50E-01
Nsmce2,ENSMUSG00000059586,3.48,5.57,0.68,9.80E-01
Fiz1,ENSMUSG00000061374,8.37,13.44,0.68,8.90E-01
Exosc5,ENSMUSG00000061286,8.67,5.41,-0.68,9.50E-01
Minos1,ENSMUSG00000050608,12.3,19.73,0.68,8.40E-01
Rhou,ENSMUSG00000039960,91.23,56.83,-0.68,4.50E-01
Syncrip,ENSMUSG00000032423,8.49,5.28,-0.68,9.50E-01
Tcof1,ENSMUSG00000024613,2.42,3.88,0.68,9.80E-01
Brpf3,ENSMUSG00000063952,164.41,102.52,-0.68,4.20E-01
Rorc,ENSMUSG00000028150,83.26,51.9,-0.68,6.50E-01
Lrch3,ENSMUSG00000022801,46.62,29.09,-0.68,6.80E-01
Gdap2,ENSMUSG00000027865,16.59,10.34,-0.68,8.60E-01
Dnajc8,ENSMUSG00000054405,20.71,12.93,-0.68,8.70E-01
Rapgef2,ENSMUSG00000062232,91.88,57.32,-0.68,6.30E-01
Pus1,ENSMUSG00000029507,2.49,3.99,0.68,9.80E-01
Atp5a1,ENSMUSG00000025428,314.82,504.47,0.68,4.60E-01
Rnf121,ENSMUSG00000070426,20.88,13.05,-0.68,8.60E-01
Arid3b,ENSMUSG00000004661,8.43,13.51,0.68,9.10E-01
Dnase1,ENSMUSG00000005980,38.77,62.06,0.68,8.30E-01
Scarna13,ENSMUSG00000088789,34.22,21.38,-0.68,8.70E-01
Slc6a6,ENSMUSG00000030096,186.26,116.27,-0.68,7.80E-01
Eid3,ENSMUSG00000109864,9.46,5.91,-0.68,9.60E-01
Ddx21,ENSMUSG00000020075,10.88,6.79,-0.68,7.80E-01
Cox6a1,ENSMUSG00000041697,48.94,78.3,0.68,6.60E-01
Ddx55,ENSMUSG00000029389,5.04,3.14,-0.68,9.50E-01
Nudt13,ENSMUSG00000021809,2.56,4.11,0.68,9.70E-01
Socs2,ENSMUSG00000020027,8.27,5.17,-0.68,9.30E-01
Acp2,ENSMUSG00000002103,12.98,20.73,0.68,6.10E-01
Rcc1l,ENSMUSG00000061979,0.66,1.05,0.68,9.90E-01
Ddb1,ENSMUSG00000024740,78.82,126.06,0.68,6.30E-01
Eif1ax,ENSMUSG00000067194,5.94,3.71,-0.68,9.80E-01
Snap29,ENSMUSG00000022765,42.75,68.39,0.68,4.60E-01
Mien1,ENSMUSG00000002580,9.58,15.32,0.68,8.70E-01
Plcl2,ENSMUSG00000038910,17.03,27.19,0.68,8.40E-01
Mknk2,ENSMUSG00000020190,30,18.78,-0.68,5.50E-01
Gm37651,ENSMUSG00000103734,1.35,2.16,0.68,9.90E-01
Ubqln4,ENSMUSG00000008604,11.4,18.24,0.68,9.10E-01
Fhdc1,ENSMUSG00000041842,19.73,12.36,-0.68,9.10E-01
Rps19,ENSMUSG00000040952,6.17,3.87,-0.68,9.60E-01
Copb1,ENSMUSG00000030754,53.82,85.98,0.68,5.50E-01
Snord32a,ENSMUSG00000065219,4.68,2.94,-0.68,8.90E-01
Cep192,ENSMUSG00000024542,3.65,5.82,0.68,9.20E-01
Tdrd3,ENSMUSG00000022019,7.09,4.43,-0.68,9.70E-01
C2cd3,ENSMUSG00000047248,6.46,10.32,0.68,9.50E-01
Coro7,ENSMUSG00000039637,43.33,27.12,-0.67,5.80E-01
Spata2,ENSMUSG00000047030,23.01,36.7,0.67,5.10E-01
Pnn,ENSMUSG00000020994,86.12,53.98,-0.67,6.30E-01
Pggt1b,ENSMUSG00000024477,6.11,9.73,0.67,9.30E-01
C2cd2,ENSMUSG00000045975,11.13,17.77,0.67,9.20E-01
Araf,ENSMUSG00000001127,18.09,28.82,0.67,8.60E-01
Rpph1,ENSMUSG00000092837,372.44,593.94,0.67,7.10E-01
Ubqln2,ENSMUSG00000050148,9.78,6.13,-0.67,9.70E-01
Ufsp2,ENSMUSG00000031634,8.23,13.12,0.67,9.50E-01
Hkdc1,ENSMUSG00000020080,179.18,285.63,0.67,5.90E-01
Bud13,ENSMUSG00000032077,14.24,8.95,-0.67,8.50E-01
Sdc1,ENSMUSG00000020592,65.43,104.31,0.67,7.30E-01
Hdhd3,ENSMUSG00000038422,13.8,21.98,0.67,9.20E-01
Reep4,ENSMUSG00000033589,16.99,10.66,-0.67,8.50E-01
Wwox,ENSMUSG00000004637,4.9,7.8,0.67,9.60E-01
Ndufc1,ENSMUSG00000037152,4.57,2.87,-0.67,9.80E-01
Ebag9,ENSMUSG00000022339,4.42,7.04,0.67,9.50E-01
Cln3,ENSMUSG00000030720,1.42,2.25,0.67,9.80E-01
Sbf1,ENSMUSG00000036529,72.75,45.74,-0.67,6.80E-01
Bach1,ENSMUSG00000025612,227.1,142.76,-0.67,4.60E-01
n-R5s155,ENSMUSG00000084480,1.11,0.7,-0.67,9.70E-01
Pdap1,ENSMUSG00000029623,39.13,62.21,0.67,4.30E-01
Rnf111,ENSMUSG00000032217,51.46,32.36,-0.67,4.70E-01
Tmem59,ENSMUSG00000028618,128.85,204.82,0.67,3.80E-01
H13,ENSMUSG00000019188,21.98,34.91,0.67,7.80E-01
Megf9,ENSMUSG00000039270,14.52,23.05,0.67,9.00E-01
Gtf3c6,ENSMUSG00000019837,6.06,9.66,0.67,8.40E-01
Dock7,ENSMUSG00000028556,13.55,8.52,-0.67,7.80E-01
Slc25a44,ENSMUSG00000050144,108.88,68.46,-0.67,6.80E-01
Xpa,ENSMUSG00000028329,9.18,14.56,0.67,9.00E-01
Cnpy3,ENSMUSG00000023973,4.04,6.41,0.67,9.30E-01
Cisd2,ENSMUSG00000028165,8.53,13.53,0.67,8.60E-01
Slmap,ENSMUSG00000021870,110.47,69.48,-0.67,4.00E-01
Tbc1d9,ENSMUSG00000031709,15.12,24.06,0.67,9.30E-01
Ptprj,ENSMUSG00000025314,107.88,67.91,-0.67,6.40E-01
Nsun3,ENSMUSG00000050312,5.16,3.24,-0.67,9.80E-01
Erg28,ENSMUSG00000021252,11.25,7.09,-0.67,8.90E-01
Smg9,ENSMUSG00000002210,6.07,3.82,-0.67,9.50E-01
Cacnb3,ENSMUSG00000003352,20.55,12.96,-0.67,8.60E-01
Gip,ENSMUSG00000014351,15.75,9.92,-0.67,9.90E-01
Ttc13,ENSMUSG00000037300,10.95,17.38,0.67,8.60E-01
Ceacam20,ENSMUSG00000070777,262.05,165.02,-0.67,6.10E-01
Ubn2,ENSMUSG00000038538,79.49,50.08,-0.67,6.30E-01
Osbpl9,ENSMUSG00000028559,35.73,22.48,-0.67,5.80E-01
Zbtb45,ENSMUSG00000049600,8.98,5.65,-0.67,9.00E-01
Klf13,ENSMUSG00000052040,45.74,28.81,-0.67,8.60E-01
Magi3,ENSMUSG00000052539,206.75,130.33,-0.67,5.60E-01
Gab1,ENSMUSG00000031714,68.49,43.15,-0.67,7.70E-01
Baiap2l1,ENSMUSG00000038859,159.3,100.46,-0.67,5.90E-01
Tom1l2,ENSMUSG00000000538,140.27,88.43,-0.67,4.60E-01
Flna,ENSMUSG00000031328,2.64,1.66,-0.67,9.80E-01
Slc38a3,ENSMUSG00000010064,3.48,5.51,0.67,9.70E-01
Tmc5,ENSMUSG00000030650,214.33,135.19,-0.66,3.60E-01
Ceacam18,ENSMUSG00000030472,81.19,128.76,0.66,4.30E-01
Cracr2a,ENSMUSG00000061414,1.57,2.49,0.66,9.80E-01
Hexa,ENSMUSG00000025232,14.09,22.36,0.66,8.70E-01
Rps6ka1,ENSMUSG00000003644,125.79,199.32,0.66,3.80E-01
Zc3h14,ENSMUSG00000021012,30.11,18.97,-0.66,8.40E-01
Shpk,ENSMUSG00000005951,7.34,11.61,0.66,8.90E-01
Wfs1,ENSMUSG00000039474,10.92,17.29,0.66,9.00E-01
Sfswap,ENSMUSG00000029439,48.31,30.51,-0.66,7.20E-01
Taok3,ENSMUSG00000061288,191.25,120.78,-0.66,4.30E-01
Akt1s1,ENSMUSG00000011096,10.99,6.92,-0.66,9.30E-01
Derl2,ENSMUSG00000018442,12.7,8.03,-0.66,8.80E-01
Szt2,ENSMUSG00000033253,45.55,28.79,-0.66,5.90E-01
Ppie,ENSMUSG00000028651,2.18,3.45,0.66,9.90E-01
Gcc1,ENSMUSG00000029708,32.37,20.44,-0.66,7.70E-01
Atp9a,ENSMUSG00000027546,114.2,180.8,0.66,4.20E-01
Ctdsp2,ENSMUSG00000078429,80.26,50.68,-0.66,6.90E-01
Man2a1,ENSMUSG00000024085,28.52,45.1,0.66,8.00E-01
Arl6ip4,ENSMUSG00000029404,6.07,9.59,0.66,8.00E-01
Naprt,ENSMUSG00000022574,56.7,89.67,0.66,6.00E-01
Ctsa,ENSMUSG00000017760,49.64,78.56,0.66,5.60E-01
Rubcn,ENSMUSG00000035629,40.36,25.51,-0.66,6.70E-01
Ptpn9,ENSMUSG00000032290,16.71,10.58,-0.66,8.60E-01
Hsp90b1,ENSMUSG00000020048,247.62,391.75,0.66,6.90E-01
Mtmr9,ENSMUSG00000035078,12.49,19.78,0.66,7.50E-01
Tcp1,ENSMUSG00000068039,20.1,31.81,0.66,9.20E-01
Tgfbr1,ENSMUSG00000007613,8.38,13.25,0.66,8.80E-01
Tango2,ENSMUSG00000013539,36.22,22.92,-0.66,6.90E-01
Tmpo,ENSMUSG00000019961,13.62,21.55,0.66,9.20E-01
Aoc1,ENSMUSG00000029811,628.49,993.58,0.66,5.30E-01
Dnajc4,ENSMUSG00000024963,5.89,9.32,0.66,9.20E-01
Spg21,ENSMUSG00000032388,5.39,8.52,0.66,9.40E-01
Zfp768,ENSMUSG00000047371,14.9,9.44,-0.66,8.90E-01
Cfl1,ENSMUSG00000056201,123.98,196,0.66,3.60E-01
Mx1,ENSMUSG00000000386,6.31,9.97,0.66,9.60E-01
Rpgrip1l,ENSMUSG00000033282,2.29,1.45,-0.66,9.90E-01
Exph5,ENSMUSG00000034584,38.66,61.1,0.66,6.10E-01
Ube2z,ENSMUSG00000014349,34.69,54.76,0.66,6.70E-01
Zbtb11,ENSMUSG00000022601,7.32,11.55,0.66,9.50E-01
Ywhaq,ENSMUSG00000076432,3.06,1.93,-0.66,9.70E-01
Usp12,ENSMUSG00000029640,77.73,49.18,-0.66,5.00E-01
Ube2k,ENSMUSG00000029203,21.05,13.31,-0.66,7.40E-01
Psd4,ENSMUSG00000026979,34.35,21.78,-0.66,7.40E-01
Prim2,ENSMUSG00000026134,0.89,1.41,0.66,9.90E-01
Slc2a9,ENSMUSG00000005107,19.01,12.03,-0.66,9.10E-01
Grn,ENSMUSG00000034708,24.67,38.93,0.66,6.20E-01
Mllt6,ENSMUSG00000038437,22.5,14.28,-0.66,8.40E-01
Pctp,ENSMUSG00000020553,1.69,2.66,0.66,9.80E-01
Smim5,ENSMUSG00000048442,12.73,8.08,-0.66,9.30E-01
Rai14,ENSMUSG00000022246,94.35,59.8,-0.66,6.50E-01
Eif4b,ENSMUSG00000058655,77.3,122,0.66,5.40E-01
Pbx3,ENSMUSG00000038718,3,1.9,-0.66,9.90E-01
Ptdss1,ENSMUSG00000021518,66.21,104.42,0.66,5.70E-01
Pbrm1,ENSMUSG00000042323,43.53,27.56,-0.66,6.00E-01
Narfl,ENSMUSG00000002280,3.09,4.87,0.66,9.60E-01
Pdzd3,ENSMUSG00000032105,31.61,49.89,0.66,3.90E-01
Npm1,ENSMUSG00000057113,4.36,6.88,0.66,9.30E-01
Tmod3,ENSMUSG00000058587,50.43,79.51,0.66,4.40E-01
Eif5a,ENSMUSG00000078812,29.19,46.04,0.66,7.70E-01
Gm1123,ENSMUSG00000044860,42.76,67.4,0.66,7.60E-01
Pgm3,ENSMUSG00000056131,23.07,36.37,0.66,7.00E-01
Slc38a7,ENSMUSG00000036534,4.32,6.81,0.66,9.60E-01
Prkab1,ENSMUSG00000029513,59.54,37.78,-0.66,6.80E-01
Mrpl4,ENSMUSG00000003299,2.3,3.62,0.66,9.80E-01
Lrrc14,ENSMUSG00000033728,2.41,1.52,-0.66,9.90E-01
Itgb5,ENSMUSG00000022817,156.02,99.03,-0.66,6.80E-01
Yipf1,ENSMUSG00000057375,12.37,7.86,-0.66,8.90E-01
Pnkp,ENSMUSG00000002963,10.36,16.33,0.66,7.90E-01
Atp5e,ENSMUSG00000016252,11.69,18.44,0.66,8.20E-01
Yap1,ENSMUSG00000053110,29.25,46.1,0.66,6.20E-01
Pygo2,ENSMUSG00000047824,12.1,7.69,-0.66,8.60E-01
Dip2a,ENSMUSG00000020231,19.07,30.07,0.66,7.90E-01
Mical2,ENSMUSG00000038244,96.31,61.17,-0.66,7.10E-01
Tmem170b,ENSMUSG00000087370,2.92,4.61,0.66,9.00E-01
Nup188,ENSMUSG00000052533,3.35,5.29,0.66,9.80E-01
Borcs6,ENSMUSG00000045176,12.98,8.25,-0.66,9.10E-01
Nat6,ENSMUSG00000079334,12.55,7.97,-0.65,9.40E-01
A730017L22Rik,ENSMUSG00000085566,4.11,6.47,0.65,9.90E-01
Isy1,ENSMUSG00000030056,4.28,2.72,-0.65,9.80E-01
Asb7,ENSMUSG00000030509,4.72,2.99,-0.65,9.20E-01
Aspscr1,ENSMUSG00000025142,20.68,32.51,0.65,8.50E-01
Slc9a3,ENSMUSG00000036123,61.91,97.4,0.65,7.10E-01
Cubn,ENSMUSG00000026726,711.12,1118.5,0.65,6.80E-01
Nlrp1b,ENSMUSG00000070390,6.82,10.71,0.65,8.50E-01
Foxj2,ENSMUSG00000003154,35.57,22.61,-0.65,6.20E-01
Irgq,ENSMUSG00000041037,14.21,9.02,-0.65,8.40E-01
Riox2,ENSMUSG00000022724,1.98,3.1,0.65,9.50E-01
Agpat2,ENSMUSG00000026922,129.68,203.94,0.65,4.90E-01
Klhdc10,ENSMUSG00000029775,10.71,6.79,-0.65,8.90E-01
Bad,ENSMUSG00000024959,8.21,12.92,0.65,8.80E-01
Tmco3,ENSMUSG00000038497,13.83,21.76,0.65,8.20E-01
Ppp1r12c,ENSMUSG00000019254,31.52,20.08,-0.65,8.40E-01
Irf7,ENSMUSG00000025498,143.39,225.39,0.65,7.00E-01
Rab5b,ENSMUSG00000000711,13.75,8.78,-0.65,8.80E-01
Zfp318,ENSMUSG00000015597,5.63,3.58,-0.65,9.50E-01
Armc1,ENSMUSG00000027599,8.68,5.53,-0.65,9.80E-01
Rab40c,ENSMUSG00000025730,6.74,10.57,0.65,9.40E-01
Spop,ENSMUSG00000057522,28.37,44.55,0.65,7.00E-01
Stx3,ENSMUSG00000041488,120.72,76.94,-0.65,3.90E-01
Gm37215,ENSMUSG00000104020,2.52,1.61,-0.65,9.90E-01
Elmod3,ENSMUSG00000056698,11,17.25,0.65,9.50E-01
Zkscan5,ENSMUSG00000055991,5.65,3.61,-0.65,9.70E-01
Zfp800,ENSMUSG00000039841,6.08,9.54,0.65,9.20E-01
Arl1,ENSMUSG00000060904,19.27,30.24,0.65,8.80E-01
Zswim8,ENSMUSG00000021819,57.43,36.65,-0.65,7.40E-01
Lrig1,ENSMUSG00000030029,2.56,4.01,0.65,9.80E-01
Zfp213,ENSMUSG00000071256,0.75,1.18,0.65,9.90E-01
Max,ENSMUSG00000059436,308.24,196.81,-0.65,3.30E-01
Arl8a,ENSMUSG00000026426,41.99,65.76,0.65,7.00E-01
Prpsap1,ENSMUSG00000015869,24.82,38.86,0.65,8.60E-01
Anapc2,ENSMUSG00000026965,64.48,41.18,-0.65,7.00E-01
Csnk1g3,ENSMUSG00000073563,42.69,27.28,-0.65,7.70E-01
Srsf9,ENSMUSG00000029538,12.02,7.68,-0.65,9.40E-01
Ptcd1,ENSMUSG00000029624,10.15,6.48,-0.65,9.30E-01
Leap2,ENSMUSG00000036216,4.43,6.92,0.65,9.60E-01
Gm43258,ENSMUSG00000105846,7.27,4.65,-0.65,9.80E-01
Isoc1,ENSMUSG00000024601,28.45,44.49,0.65,7.50E-01
Ipo9,ENSMUSG00000041879,2.74,1.76,-0.64,9.60E-01
Ctsf,ENSMUSG00000083282,6.08,3.88,-0.64,9.80E-01
Gm38380,ENSMUSG00000102664,1.56,2.43,0.64,9.90E-01
Dnm2,ENSMUSG00000033335,492.91,315.33,-0.64,4.40E-01
Gtf2a2,ENSMUSG00000033543,3.67,2.34,-0.64,9.80E-01
n-R5s58,ENSMUSG00000070192,1.41,0.9,-0.64,9.70E-01
Nadsyn1,ENSMUSG00000031090,19.53,30.51,0.64,8.80E-01
Rbbp8,ENSMUSG00000041238,17.73,11.36,-0.64,8.90E-01
Nr5a2,ENSMUSG00000026398,6.62,10.34,0.64,9.70E-01
Slc39a14,ENSMUSG00000022094,93.7,59.98,-0.64,7.60E-01
Lpcat4,ENSMUSG00000027134,70.81,45.34,-0.64,8.20E-01
Plekha5,ENSMUSG00000030231,31.15,19.98,-0.64,7.40E-01
Arhgef11,ENSMUSG00000041977,87.73,56.24,-0.64,7.10E-01
Cdc23,ENSMUSG00000024370,1.57,1.01,-0.64,9.90E-01
CAAA01147332.1,ENSMUSG00000095742,18.09,11.61,-0.64,8.70E-01
Faah,ENSMUSG00000034171,150.16,96.23,-0.64,7.80E-01
Ampd2,ENSMUSG00000027889,4.42,6.88,0.64,9.70E-01
Prdm2,ENSMUSG00000057637,82.84,53.1,-0.64,5.90E-01
Supt16,ENSMUSG00000035726,25.06,39.07,0.64,5.70E-01
Dram2,ENSMUSG00000027900,19.24,12.33,-0.64,8.50E-01
Osbpl6,ENSMUSG00000042359,65.2,41.82,-0.64,7.60E-01
Upf3b,ENSMUSG00000036572,5.68,8.86,0.64,9.60E-01
Fam160b2,ENSMUSG00000022095,37.19,23.88,-0.64,7.80E-01
9130230L23Rik,ENSMUSG00000054598,24.94,16.02,-0.64,8.70E-01
Gprasp1,ENSMUSG00000043384,5.94,3.81,-0.64,9.80E-01
Fchsd1,ENSMUSG00000038524,23,14.78,-0.64,8.80E-01
Pef1,ENSMUSG00000028779,16.96,26.42,0.64,8.50E-01
Hyal2,ENSMUSG00000010047,28.9,45,0.64,8.60E-01
B3galnt2,ENSMUSG00000039242,4.26,2.74,-0.64,9.90E-01
Nt5c,ENSMUSG00000020736,20.21,31.42,0.64,7.90E-01
Pdlim2,ENSMUSG00000022090,276.89,177.85,-0.64,5.80E-01
